,,,,,,,,,
,NO,CODE,LAB,LEVEL,SKILL,QUESTION,ANSWER,DIFFICULTY,EXPLANATION
,1,DIV0000000000001,PEMBAGIAN,1,Pembagian dengan 1 dan 2,0 ÷ 1,0,Mudah,"Nol dibagi berapa pun hasilnya 0, sebab tidak ada yang perlu dibagikan. 0 ÷ 1 = 0."
,2,DIV0000000000002,PEMBAGIAN,1,Pembagian dengan 1 dan 2,0 ÷ 2,0,Mudah,"Nol dibagi berapa pun hasilnya 0, sebab tidak ada yang perlu dibagikan. 0 ÷ 2 = 0."
,3,DIV0000000000003,PEMBAGIAN,1,Pembagian dengan 1 dan 2,1 ÷ 1,1,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 1 ÷ 1 = 1.
,4,DIV0000000000004,PEMBAGIAN,1,Pembagian dengan 1 dan 2,2 ÷ 2,1,Mudah,Bilangan yang dibagi dirinya sendiri hasilnya selalu 1. 2 ÷ 2 = 1.
,5,DIV0000000000005,PEMBAGIAN,1,Pembagian dengan 1 dan 2,2 ÷ 1,2,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 2 ÷ 1 = 2.
,6,DIV0000000000006,PEMBAGIAN,1,Pembagian dengan 1 dan 2,4 ÷ 2,2,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 4? Karena 2 × 2 = 4, maka 4 ÷ 2 = 2."
,7,DIV0000000000007,PEMBAGIAN,1,Pembagian dengan 1 dan 2,3 ÷ 1,3,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 3 ÷ 1 = 3.
,8,DIV0000000000008,PEMBAGIAN,1,Pembagian dengan 1 dan 2,6 ÷ 2,3,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 6? Karena 2 × 3 = 6, maka 6 ÷ 2 = 3."
,9,DIV0000000000009,PEMBAGIAN,1,Pembagian dengan 1 dan 2,4 ÷ 1,4,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 4 ÷ 1 = 4.
,10,DIV0000000000010,PEMBAGIAN,1,Pembagian dengan 1 dan 2,8 ÷ 2,4,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 8? Karena 2 × 4 = 8, maka 8 ÷ 2 = 4."
,11,DIV0000000000011,PEMBAGIAN,1,Pembagian dengan 1 dan 2,5 ÷ 1,5,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 5 ÷ 1 = 5.
,12,DIV0000000000012,PEMBAGIAN,1,Pembagian dengan 1 dan 2,10 ÷ 2,5,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 10? Karena 2 × 5 = 10, maka 10 ÷ 2 = 5."
,13,DIV0000000000013,PEMBAGIAN,1,Pembagian dengan 1 dan 2,6 ÷ 1,6,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 6 ÷ 1 = 6.
,14,DIV0000000000014,PEMBAGIAN,1,Pembagian dengan 1 dan 2,12 ÷ 2,6,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 12? Karena 2 × 6 = 12, maka 12 ÷ 2 = 6."
,15,DIV0000000000015,PEMBAGIAN,1,Pembagian dengan 1 dan 2,7 ÷ 1,7,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 7 ÷ 1 = 7.
,16,DIV0000000000016,PEMBAGIAN,1,Pembagian dengan 1 dan 2,14 ÷ 2,7,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 14? Karena 2 × 7 = 14, maka 14 ÷ 2 = 7."
,17,DIV0000000000017,PEMBAGIAN,1,Pembagian dengan 1 dan 2,8 ÷ 1,8,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 8 ÷ 1 = 8.
,18,DIV0000000000018,PEMBAGIAN,1,Pembagian dengan 1 dan 2,16 ÷ 2,8,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 16? Karena 2 × 8 = 16, maka 16 ÷ 2 = 8."
,19,DIV0000000000019,PEMBAGIAN,1,Pembagian dengan 1 dan 2,9 ÷ 1,9,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 9 ÷ 1 = 9.
,20,DIV0000000000020,PEMBAGIAN,1,Pembagian dengan 1 dan 2,18 ÷ 2,9,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 18? Karena 2 × 9 = 18, maka 18 ÷ 2 = 9."
,21,DIV0000000000021,PEMBAGIAN,1,Pembagian dengan 1 dan 2,10 ÷ 1,10,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 10 ÷ 1 = 10.
,22,DIV0000000000022,PEMBAGIAN,1,Pembagian dengan 1 dan 2,20 ÷ 2,10,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 20? Karena 2 × 10 = 20, maka 20 ÷ 2 = 10."
,23,DIV0000000000023,PEMBAGIAN,1,Pembagian dengan 1 dan 2,11 ÷ 1,11,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 11 ÷ 1 = 11.
,24,DIV0000000000024,PEMBAGIAN,1,Pembagian dengan 1 dan 2,22 ÷ 2,11,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 22? Karena 2 × 11 = 22, maka 22 ÷ 2 = 11."
,25,DIV0000000000025,PEMBAGIAN,1,Pembagian dengan 1 dan 2,12 ÷ 1,12,Mudah,Dibagi 1 tidak mengubah nilai; semuanya masuk ke satu kelompok. 12 ÷ 1 = 12.
,26,DIV0000000000026,PEMBAGIAN,1,Pembagian dengan 1 dan 2,24 ÷ 2,12,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 2 dikali berapa sama dengan 24? Karena 2 × 12 = 24, maka 24 ÷ 2 = 12."
,27,DIV0000000000027,PEMBAGIAN,1,Pembagian dengan 5 dan 10,0 ÷ 5,0,Mudah,"Nol dibagi berapa pun hasilnya 0, sebab tidak ada yang perlu dibagikan. 0 ÷ 5 = 0."
,28,DIV0000000000028,PEMBAGIAN,1,Pembagian dengan 5 dan 10,0 ÷ 10,0,Mudah,"Nol dibagi berapa pun hasilnya 0, sebab tidak ada yang perlu dibagikan. 0 ÷ 10 = 0."
,29,DIV0000000000029,PEMBAGIAN,1,Pembagian dengan 5 dan 10,5 ÷ 5,1,Mudah,Bilangan yang dibagi dirinya sendiri hasilnya selalu 1. 5 ÷ 5 = 1.
,30,DIV0000000000030,PEMBAGIAN,1,Pembagian dengan 5 dan 10,10 ÷ 10,1,Mudah,Bilangan yang dibagi dirinya sendiri hasilnya selalu 1. 10 ÷ 10 = 1.
,31,DIV0000000000031,PEMBAGIAN,1,Pembagian dengan 5 dan 10,10 ÷ 5,2,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 10? Karena 5 × 2 = 10, maka 10 ÷ 5 = 2."
,32,DIV0000000000032,PEMBAGIAN,1,Pembagian dengan 5 dan 10,20 ÷ 10,2,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 20? Karena 10 × 2 = 20, maka 20 ÷ 10 = 2."
,33,DIV0000000000033,PEMBAGIAN,1,Pembagian dengan 5 dan 10,15 ÷ 5,3,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 15? Karena 5 × 3 = 15, maka 15 ÷ 5 = 3."
,34,DIV0000000000034,PEMBAGIAN,1,Pembagian dengan 5 dan 10,30 ÷ 10,3,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 30? Karena 10 × 3 = 30, maka 30 ÷ 10 = 3."
,35,DIV0000000000035,PEMBAGIAN,1,Pembagian dengan 5 dan 10,20 ÷ 5,4,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 20? Karena 5 × 4 = 20, maka 20 ÷ 5 = 4."
,36,DIV0000000000036,PEMBAGIAN,1,Pembagian dengan 5 dan 10,40 ÷ 10,4,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 40? Karena 10 × 4 = 40, maka 40 ÷ 10 = 4."
,37,DIV0000000000037,PEMBAGIAN,1,Pembagian dengan 5 dan 10,25 ÷ 5,5,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 25? Karena 5 × 5 = 25, maka 25 ÷ 5 = 5."
,38,DIV0000000000038,PEMBAGIAN,1,Pembagian dengan 5 dan 10,50 ÷ 10,5,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 50? Karena 10 × 5 = 50, maka 50 ÷ 10 = 5."
,39,DIV0000000000039,PEMBAGIAN,1,Pembagian dengan 5 dan 10,30 ÷ 5,6,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 30? Karena 5 × 6 = 30, maka 30 ÷ 5 = 6."
,40,DIV0000000000040,PEMBAGIAN,1,Pembagian dengan 5 dan 10,60 ÷ 10,6,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 60? Karena 10 × 6 = 60, maka 60 ÷ 10 = 6."
,41,DIV0000000000041,PEMBAGIAN,1,Pembagian dengan 5 dan 10,35 ÷ 5,7,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 35? Karena 5 × 7 = 35, maka 35 ÷ 5 = 7."
,42,DIV0000000000042,PEMBAGIAN,1,Pembagian dengan 5 dan 10,70 ÷ 10,7,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 70? Karena 10 × 7 = 70, maka 70 ÷ 10 = 7."
,43,DIV0000000000043,PEMBAGIAN,1,Pembagian dengan 5 dan 10,40 ÷ 5,8,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 40? Karena 5 × 8 = 40, maka 40 ÷ 5 = 8."
,44,DIV0000000000044,PEMBAGIAN,1,Pembagian dengan 5 dan 10,80 ÷ 10,8,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 80? Karena 10 × 8 = 80, maka 80 ÷ 10 = 8."
,45,DIV0000000000045,PEMBAGIAN,1,Pembagian dengan 5 dan 10,45 ÷ 5,9,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 45? Karena 5 × 9 = 45, maka 45 ÷ 5 = 9."
,46,DIV0000000000046,PEMBAGIAN,1,Pembagian dengan 5 dan 10,90 ÷ 10,9,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 90? Karena 10 × 9 = 90, maka 90 ÷ 10 = 9."
,47,DIV0000000000047,PEMBAGIAN,1,Pembagian dengan 5 dan 10,50 ÷ 5,10,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 50? Karena 5 × 10 = 50, maka 50 ÷ 5 = 10."
,48,DIV0000000000048,PEMBAGIAN,1,Pembagian dengan 5 dan 10,100 ÷ 10,10,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 100? Karena 10 × 10 = 100, maka 100 ÷ 10 = 10."
,49,DIV0000000000049,PEMBAGIAN,1,Pembagian dengan 5 dan 10,55 ÷ 5,11,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 5 dikali berapa sama dengan 55? Karena 5 × 11 = 55, maka 55 ÷ 5 = 11."
,50,DIV0000000000050,PEMBAGIAN,1,Pembagian dengan 5 dan 10,110 ÷ 10,11,Mudah,"Pembagian adalah lawan perkalian. Tanyakan: 10 dikali berapa sama dengan 110? Karena 10 × 11 = 110, maka 110 ÷ 10 = 11."
