,,,,,,,,,
,NO,CODE,LAB,LEVEL,SKILL,QUESTION,ANSWER,DIFFICULTY,EXPLANATION
,1,SUB0000000000001,PENGURANGAN,1,Pengurangan dasar 0-9,0 − 0,0,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 0 − 0 = 0."
,2,SUB0000000000002,PENGURANGAN,1,Pengurangan dasar 0-9,1 − 0,1,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 1 − 0 = 1."
,3,SUB0000000000003,PENGURANGAN,1,Pengurangan dasar 0-9,2 − 0,2,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 2 − 0 = 2."
,4,SUB0000000000004,PENGURANGAN,1,Pengurangan dasar 0-9,2 − 1,1,Mudah,Hitung mundur dari 2 sebanyak 1 langkah: 1. Berhenti di 1.
,5,SUB0000000000005,PENGURANGAN,1,Pengurangan dasar 0-9,2 − 2,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 2 − 2 = 0."
,6,SUB0000000000006,PENGURANGAN,1,Pengurangan dasar 0-9,3 − 0,3,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 3 − 0 = 3."
,7,SUB0000000000007,PENGURANGAN,1,Pengurangan dasar 0-9,3 − 3,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 3 − 3 = 0."
,8,SUB0000000000008,PENGURANGAN,1,Pengurangan dasar 0-9,4 − 0,4,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 4 − 0 = 4."
,9,SUB0000000000009,PENGURANGAN,1,Pengurangan dasar 0-9,4 − 1,3,Mudah,Hitung mundur dari 4 sebanyak 1 langkah: 3. Berhenti di 3.
,10,SUB0000000000010,PENGURANGAN,1,Pengurangan dasar 0-9,4 − 3,1,Mudah,Hitung mundur dari 4 sebanyak 3 langkah: 3 → 2 → 1. Berhenti di 1.
,11,SUB0000000000011,PENGURANGAN,1,Pengurangan dasar 0-9,4 − 4,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 4 − 4 = 0."
,12,SUB0000000000012,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 0,5,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 5 − 0 = 5."
,13,SUB0000000000013,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 1,4,Mudah,Hitung mundur dari 5 sebanyak 1 langkah: 4. Berhenti di 4.
,14,SUB0000000000014,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 4,1,Mudah,Hitung mundur dari 5 sebanyak 4 langkah: 4 → 3 → 2 → 1. Berhenti di 1.
,15,SUB0000000000015,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 5,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 5 − 5 = 0."
,16,SUB0000000000016,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 0,6,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 6 − 0 = 6."
,17,SUB0000000000017,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 1,5,Mudah,Hitung mundur dari 6 sebanyak 1 langkah: 5. Berhenti di 5.
,18,SUB0000000000018,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 6,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 6 − 6 = 0."
,19,SUB0000000000019,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 0,7,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 7 − 0 = 7."
,20,SUB0000000000020,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 6,1,Mudah,Hitung mundur dari 7 sebanyak 6 langkah: 6 → 5 → 4 → 3 → 2 → 1. Berhenti di 1.
,21,SUB0000000000021,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 7,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 7 − 7 = 0."
,22,SUB0000000000022,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 0,8,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 8 − 0 = 8."
,23,SUB0000000000023,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 1,7,Mudah,Hitung mundur dari 8 sebanyak 1 langkah: 7. Berhenti di 7.
,24,SUB0000000000024,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 7,1,Mudah,Hitung mundur dari 8 sebanyak 7 langkah: 7 → 6 → 5 → 4 → 3 → 2 → 1. Berhenti di 1.
,25,SUB0000000000025,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 8,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 8 − 8 = 0."
,26,SUB0000000000026,PENGURANGAN,1,Pengurangan dasar 0-9,9 − 0,9,Mudah,"Dikurangi 0 berarti tidak ada yang diambil, nilainya tetap. 9 − 0 = 9."
,27,SUB0000000000027,PENGURANGAN,1,Pengurangan dasar 0-9,9 − 1,8,Mudah,Hitung mundur dari 9 sebanyak 1 langkah: 8. Berhenti di 8.
,28,SUB0000000000028,PENGURANGAN,1,Pengurangan dasar 0-9,9 − 8,1,Mudah,Hitung mundur dari 9 sebanyak 8 langkah: 8 → 7 → 6 → 5 → 4 → 3 → 2 → 1. Berhenti di 1.
,29,SUB0000000000029,PENGURANGAN,1,Pengurangan dasar 0-9,9 − 9,0,Mudah,"Bilangan dikurangi dirinya sendiri, semuanya habis. 9 − 9 = 0."
,30,SUB0000000000030,PENGURANGAN,1,Pengurangan dasar 0-9,4 − 2,2,Sedang,Hitung mundur dari 4 sebanyak 2 langkah: 3 → 2. Berhenti di 2.
,31,SUB0000000000031,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 2,3,Sedang,Hitung mundur dari 5 sebanyak 2 langkah: 4 → 3. Berhenti di 3.
,32,SUB0000000000032,PENGURANGAN,1,Pengurangan dasar 0-9,5 − 3,2,Sedang,Hitung mundur dari 5 sebanyak 3 langkah: 4 → 3 → 2. Berhenti di 2.
,33,SUB0000000000033,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 2,4,Sedang,Hitung mundur dari 6 sebanyak 2 langkah: 5 → 4. Berhenti di 4.
,34,SUB0000000000034,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 3,3,Sedang,Hitung mundur dari 6 sebanyak 3 langkah: 5 → 4 → 3. Berhenti di 3.
,35,SUB0000000000035,PENGURANGAN,1,Pengurangan dasar 0-9,6 − 4,2,Sedang,Hitung mundur dari 6 sebanyak 4 langkah: 5 → 4 → 3 → 2. Berhenti di 2.
,36,SUB0000000000036,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 2,5,Sedang,Hitung mundur dari 7 sebanyak 2 langkah: 6 → 5. Berhenti di 5.
,37,SUB0000000000037,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 3,4,Sedang,Hitung mundur dari 7 sebanyak 3 langkah: 6 → 5 → 4. Berhenti di 4.
,38,SUB0000000000038,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 4,3,Sedang,Hitung mundur dari 7 sebanyak 4 langkah: 6 → 5 → 4 → 3. Berhenti di 3.
,39,SUB0000000000039,PENGURANGAN,1,Pengurangan dasar 0-9,7 − 5,2,Sedang,Hitung mundur dari 7 sebanyak 5 langkah: 6 → 5 → 4 → 3 → 2. Berhenti di 2.
,40,SUB0000000000040,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 2,6,Sedang,Hitung mundur dari 8 sebanyak 2 langkah: 7 → 6. Berhenti di 6.
,41,SUB0000000000041,PENGURANGAN,1,Pengurangan dasar 0-9,8 − 3,5,Sedang,Hitung mundur dari 8 sebanyak 3 langkah: 7 → 6 → 5. Berhenti di 5.
