,,,,,,,,,
,NO,CODE,LAB,LEVEL,SKILL,QUESTION,ANSWER,DIFFICULTY,EXPLANATION
,1,ADD0000000000001,PENJUMLAHAN,1,Pertambahan 0-9,1 + 0,1,Mudah,Menambahkan nol tidak menambah apa pun. 1 + 0 tetap 1. Setiap bilangan yang ditambah 0 nilainya tidak berubah.
,2,ADD0000000000002,PENJUMLAHAN,1,Pertambahan 0-9,0 + 1,1,Mudah,Menambahkan nol tidak menambah apa pun. 0 + 1 tetap 1. Setiap bilangan yang ditambah 0 nilainya tidak berubah.
,3,ADD0000000000003,PENJUMLAHAN,1,Pertambahan 0-9,1 + 2,3,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 2, lalu hitung maju 1 langkah: 3. Berhenti di 3."
,4,ADD0000000000004,PENJUMLAHAN,1,Pertambahan 0-9,2 + 1,3,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 2, lalu hitung maju 1 langkah: 3. Berhenti di 3."
,5,ADD0000000000005,PENJUMLAHAN,1,Pertambahan 0-9,3 + 0,3,Mudah,Menambahkan nol tidak menambah apa pun. 3 + 0 tetap 3. Setiap bilangan yang ditambah 0 nilainya tidak berubah.
,6,ADD0000000000006,PENJUMLAHAN,1,Pertambahan 0-9,4 + 0,4,Mudah,Menambahkan nol tidak menambah apa pun. 4 + 0 tetap 4. Setiap bilangan yang ditambah 0 nilainya tidak berubah.
,7,ADD0000000000007,PENJUMLAHAN,1,Pertambahan 0-9,3 + 2,5,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 3, lalu hitung maju 2 langkah: 4 → 5. Berhenti di 5."
,8,ADD0000000000008,PENJUMLAHAN,1,Pertambahan 0-9,2 + 3,5,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 3, lalu hitung maju 2 langkah: 4 → 5. Berhenti di 5."
,9,ADD0000000000009,PENJUMLAHAN,1,Pertambahan 0-9,4 + 1,5,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 4, lalu hitung maju 1 langkah: 5. Berhenti di 5."
,10,ADD0000000000010,PENJUMLAHAN,1,Pertambahan 0-9,5 + 0,5,Mudah,Menambahkan nol tidak menambah apa pun. 5 + 0 tetap 5. Setiap bilangan yang ditambah 0 nilainya tidak berubah.
,11,ADD0000000000011,PENJUMLAHAN,1,Pertambahan 0-9,3 + 3,6,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 3, lalu hitung maju 3 langkah: 4 → 5 → 6. Berhenti di 6."
,12,ADD0000000000012,PENJUMLAHAN,1,Pertambahan 0-9,4 + 2,6,Mudah,"Ambil bilangan yang lebih besar dulu, yaitu 4, lalu hitung maju 2 langkah: 5 → 6. Berhenti di 6."
