,,,,,,,,,
,NO,CODE,LAB,LEVEL,SKILL,QUESTION,ANSWER,DIFFICULTY,EXPLANATION
,1,MUL0000000000001,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 1,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 1 = 0."
,2,MUL0000000000002,PERKALIAN,1,"Perkalian 0, 1, dan 2",1 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 1 × 0 = 0."
,3,MUL0000000000003,PERKALIAN,1,"Perkalian 0, 1, dan 2",2 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 2 × 0 = 0."
,4,MUL0000000000004,PERKALIAN,1,"Perkalian 0, 1, dan 2",3 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 3 × 0 = 0."
,5,MUL0000000000005,PERKALIAN,1,"Perkalian 0, 1, dan 2",4 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 4 × 0 = 0."
,6,MUL0000000000006,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 4,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 4 = 0."
,7,MUL0000000000007,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 5,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 5 = 0."
,8,MUL0000000000008,PERKALIAN,1,"Perkalian 0, 1, dan 2",5 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 5 × 0 = 0."
,9,MUL0000000000009,PERKALIAN,1,"Perkalian 0, 1, dan 2",6 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 6 × 0 = 0."
,10,MUL0000000000010,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 6,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 6 = 0."
,11,MUL0000000000011,PERKALIAN,1,"Perkalian 0, 1, dan 2",7 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 7 × 0 = 0."
,12,MUL0000000000012,PERKALIAN,1,"Perkalian 0, 1, dan 2",8 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 8 × 0 = 0."
,13,MUL0000000000013,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 9,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 9 = 0."
,14,MUL0000000000014,PERKALIAN,1,"Perkalian 0, 1, dan 2",9 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 9 × 0 = 0."
,15,MUL0000000000015,PERKALIAN,1,"Perkalian 0, 1, dan 2",10 × 0,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 10 × 0 = 0."
,16,MUL0000000000016,PERKALIAN,1,"Perkalian 0, 1, dan 2",0 × 12,0,Mudah,"Berapa pun dikali 0 hasilnya selalu 0, karena tidak ada kelompok yang dihitung. 0 × 12 = 0."
